participant_number 212
survey_language finnish
age 21-25
gender male
profession_activity yes
are_you_1 
are_you_2 
are_you_3 
are_you_4 
are_you_5 
are_you_6 other
other_activity Maanviljelijä
language_1 Suomi 
language_1_skill fluent 
language_1_mother yes 
language_2 Englanti 
language_2_skill good 
language_2_mother no 
language_3 Ruotsi 
language_3_skill average 
language_3_mother no 
language_4 Saksa 
language_4_skill average 
language_4_mother no 
language_5  
language_5_skill none 
language_5_mother no 
selected_language Suomi 
survey_start_at 1382042811
k_limp_angry_k_walk_angry_000_100 tömpsyttelee_ tomerasti_ reippaasti_ uhmakkaasti_ 1382043030
k_limp_slow_k_walk_slow_100_000 nilkuttaa_ hitaasti_ varovasti_ laahaavasti_ 1382043122
t_run_fast_t_run_slow_100_000 ryntää_ räjähtävästi_ nopeasti_ voimakkaasti_ 1382043167
t_walk_fast_t_walk_angry_t_walk_regular_100_000_000 reippailee_ pirteästi_ iloisesti_ huolettomasti_ 1382043211
t_run_fast_t_run_slow_000_100 kiiruhtaa_ hölkäten_ _ _ 1382043355
t_limp_regular_t_limp_fast_t_limp_angry_100_000_000 tuijottaa_ nilkuttaen_ _ _ 1382043531
k_walk_fast_k_walk_angry_k_walk_regular_100_000_000 kävelee_ tutkivasti_ _ _ 1382043571
t_limp_sad_t_walk_sad_000_100 löntystää_ allapäin_ verkkaisesti_ _ 1382043603
k_limp_slow_k_walk_slow_000_100 kävelee_ epäluuloisesti_ _ _ 1382043682
k_run_slow_k_limp_fast_k_walk_regular_000_000_100 kävelee_ tavallisesti_ _ _ 1382043714
t_run_slow_t_limp_fast_t_walk_regular_000_000_100 kävelee_ kiihdyttäen_ _ _ 1382043739
t_limp_slow_t_walk_slow_000_100 kävelee_ leveästi_ keinuen_ _ 1382043782
k_run_fast_k_run_slow_100_000 ponkaisee_ räjähtävästi_ voimakkaasti_ pikaisesti_ 1382043822
t_limp_angry_t_walk_angry_100_000 kävelee_ tampaten_ _ _ 1382043871
k_limp_sad_k_walk_sad_000_100 löntystää_ löysästi_ _ _ 1382043907
t_limp_angry_t_walk_angry_000_100 kävelee_ reippaasti_ marssien_ _ 1382043936
t_limp_slow_t_walk_slow_100_000 nilkuttaa_ laahaavasti_ _ _ 1382043995
t_limp_sad_t_walk_sad_100_000 nilkuttaa_ sairaasti_ pahoinvoivasti_ _ 1382044039
k_run_slow_k_limp_fast_k_walk_regular_000_100_000 nilkuttaa_ kiireesti_ _ _ 1382044066
t_run_slow_t_limp_fast_t_walk_regular_000_100_000 nilkuttaa_ _ _ _ 1382044133
k_limp_angry_k_walk_angry_100_000 nilkuttaa_ nytkähdellen_ _ _ 1382044196
k_limp_regular_k_limp_fast_k_limp_angry_100_000_000 nilkuttaa_ tavallisesti_ _ _ 1382044212
k_run_fast_k_run_slow_000_100 kävelee_ kiihdyttäen_ _ _ 1382044264
k_limp_sad_k_walk_sad_100_000 nilkuttaa_ onnettomasti_ _ _ 1382044280
k_walk_regular_k_walk_sad_k_walk_slow_050_050_000 kävelee_ _ _ _ 1382044371
t_walk_fast_t_walk_angry_t_walk_regular_000_050_050 kävelee_ elävästi_ rytmikkäästi_ _ 1382044397
