participant_number 217
survey_language finnish
age 26-30
gender female
profession_activity no
are_you_1 
are_you_2 
are_you_3 
are_you_4 
are_you_5 
are_you_6 
other_activity 
language_1 suomi 
language_1_skill good 
language_1_mother yes 
language_2 englanti 
language_2_skill fluent 
language_2_mother no 
language_3 ruotsi 
language_3_skill average 
language_3_mother no 
language_4 saksa 
language_4_skill elementary 
language_4_mother no 
language_5  
language_5_skill none 
language_5_mother no 
selected_language suomi 
survey_start_at 1382289881
t_run_fast_t_run_slow_100_000 juoksee_ nopeasti_ tehokkaasti_ iloisesti_ 1382289967
k_limp_regular_k_limp_fast_k_limp_angry_100_000_000 nilkuttaa_ vaikeasti_ hitaasti_ tuskaisesti_ 1382290004
t_walk_fast_t_walk_angry_t_walk_regular_100_000_000 kävelee__ reippaasti_ _ _ 1382290031
t_limp_angry_t_walk_angry_100_000 nilkuttaa_ rytmikkäästi_ _ _ 1382290075
k_limp_angry_k_walk_angry_000_100 kävelee_ pontevasti_ _ _ 1382290147
k_limp_slow_k_walk_slow_100_000 laahustaa_ hitaasti_ _ _ 1382290171
k_limp_angry_k_walk_angry_100_000 ontuu_ hitaasti_ vaikeasti_ _ 1382290192
t_limp_angry_t_walk_angry_000_100 kävelee_ reippaasti_ normaalisti_ _ 1382290228
t_run_slow_t_limp_fast_t_walk_regular_000_100_000 kävelee_ linkuttaen_ _ _ 1382290290
k_run_fast_k_run_slow_100_000 juoksee_ urheilijamaisesti_ _ _ 1382290315
k_run_slow_k_limp_fast_k_walk_regular_000_000_100 kävelee_ normaalisti_ _ _ 1382290346
t_limp_regular_t_limp_fast_t_limp_angry_100_000_000 kävelee_ vanhusmaisesti_ _ _ 1382290391
t_limp_sad_t_walk_sad_100_000 kävelee__ hitaasti_ vaikeasti_ _ 1382290419
t_limp_sad_t_walk_sad_000_100 kävelee_ mietiskelevästi_ _ _ 1382290443
k_limp_slow_k_walk_slow_000_100 kävelee_ ihmettelevästi_ _ _ 1382290476
